Team,País,#,POS,Player name (MD),Nombre ANTERIOR,Nombre NUEVO,Cambió?,First name(s),Last name(s),Name on shirt,externalRef,Observación,Nombre corregido sugerido
ALG,Algeria,1,GK,MASTIL Melvin,Melvin Mastil,Mastil Melvin,SI,Melvin Feycal,MASTIL,MASTIL,wc2026-ALG-1,Cambio de nombre,
ALG,Algeria,2,DF,MANDI Aissa,Aissa Mandi,Mandi Aissa,SI,Aissa,MANDI,MANDI,wc2026-ALG-2,Cambio de nombre,
ALG,Algeria,3,DF,ABADA Achraf,Achraf Abada,Abada Achraf,SI,Achraf,ABADA,ABADA,wc2026-ALG-3,Cambio de nombre,
ALG,Algeria,4,DF,TOUGAI Mohamed Amine,Mohamed Tougai,Tougai Mohamed Amine,SI,Mohamed Amine,TOUGAI,TOUGAI,wc2026-ALG-4,Cambio de nombre,
ALG,Algeria,5,DF,BELAID Zineddine,Zineddine Belaid,Belaid Zineddine,SI,Zineddine,BELAÏD,BELAID,wc2026-ALG-5,Cambio de nombre,
ALG,Algeria,6,MF,ZERROUKI Ramiz,Ramiz Zerrouki,Zerrouki Ramiz,SI,Ramiz Larbi,ZERROUKI,ZERROUKI,wc2026-ALG-6,Cambio de nombre,
ALG,Algeria,7,FW,MAHREZ Riyad,Riyad Mahrez,Mahrez Riyad,SI,Riyad Karim,MAHREZ,MAHREZ,wc2026-ALG-7,Cambio de nombre,
ALG,Algeria,8,MF,AOUAR Houssem,Houssem-eddine Aouar,Aouar Houssem,SI,Houssem-Eddine Chaabane,AOUAR,AOUAR,wc2026-ALG-8,Cambio de nombre,
ALG,Algeria,9,FW,GOUIRI Amine,Amine Gouiri,Gouiri Amine,SI,Amine Ferid,GHOUIRI,GOUIRI,wc2026-ALG-9,Cambio de nombre,
ALG,Algeria,10,MF,CHAIBI Fares,Fares Chaibi,Chaibi Fares,SI,Fares,CHAIBI,CHAIBI,wc2026-ALG-10,Cambio de nombre,
ALG,Algeria,11,FW,HADJ MOUSSA Anis,Hadj Moussa,Hadj Moussa Anis,SI,Anis,HADJ MOUSSA,HADJ MOUSSA,wc2026-ALG-11,Cambio de nombre,
ALG,Algeria,12,FW,BENBOUALI Nadhir,Ahmed Benbouali,Benbouali Nadhir,SI,Ahmed Nadhir,BENBOUALI,BENBOUALI,wc2026-ALG-12,Cambio de nombre,
ALG,Algeria,13,DF,HADJAM Jaouen,Jaouen Hadjam,Hadjam Jaouen,SI,Jaouen Djimmy,HADJAM,HADJAM,wc2026-ALG-13,Cambio de nombre,
ALG,Algeria,14,MF,BOUDAOUI Hicham,Hicham Boudaoui,Boudaoui Hicham,SI,Hicham,BOUDAOUI,BOUDAOUI,wc2026-ALG-14,Cambio de nombre,
ALG,Algeria,15,DF,AIT-NOURI Rayan,Aït Nouri,Ait-nouri Rayan,SI,Rayan,AÏT-NOURI,AÏT NOURI,wc2026-ALG-15,Cambio de nombre,
ALG,Algeria,16,GK,BENBOT Oussama,Oussama Benbot,Benbot Oussama,SI,Oussama,BENBOT,BENBOT,wc2026-ALG-16,Cambio de nombre,
ALG,Algeria,17,DF,BELGHALI Rafik,Rafik Belghali,Belghali Rafik,SI,Rafik,BELGHALI,BELGHALI,wc2026-ALG-17,Cambio de nombre,
ALG,Algeria,18,FW,AMOURA Mohamed,Mohammed Amoura,Amoura Mohamed,SI,Mohammed Elamine,AMOURA,AMOURA,wc2026-ALG-18,Cambio de nombre,
ALG,Algeria,19,MF,BENTALEB Nabil,Nabil Bentaleb,Bentaleb Nabil,SI,Nabil,BENTALEB,BENTALEB,wc2026-ALG-19,Cambio de nombre,
ALG,Algeria,20,FW,BOULBINA Adil,Adil Boulbina,Boulbina Adil,SI,Adil,BOULBINA,BOULBINA,wc2026-ALG-20,Cambio de nombre,
ALG,Algeria,21,DF,BENSEBAINI Ramy,Amir Bensebaini,Bensebaini Ramy,SI,Amir Selmane Rami,BENSEBAINI,BENSEBAINI,wc2026-ALG-21,Cambio de nombre,
ALG,Algeria,22,MF,MAZA Ibrahim,Ibrahim Maza,Maza Ibrahim,SI,Ibrahim,MAZA,MAZA,wc2026-ALG-22,Cambio de nombre,
ALG,Algeria,23,GK,ZIDANE Luca,Luca Zidane,Zidane Luca,SI,Luca Zinedine,ZIDANE,ZIDANE,wc2026-ALG-23,Cambio de nombre,
ALG,Algeria,24,MF,TITRAOUI Yassine,Yassine Titraoui,Titraoui Yassine,SI,Yassine M E G,TITRAOUI,TITRAOUI,wc2026-ALG-24,Cambio de nombre,
